ShareClass ISIN,isin,name,Constituent Country,Constituent Currency ISO Code,weight_percentage,Constituent Rating,Constituent Main Exchange Name,Constituent Industry Classification Name,ticker
IE00BL25JP72,IT0000072618,INTESA SANPAOLO,Italien,EUR,0.493857,Baa2,Milan Stock Exchange,Finanzen,
IE00BL25JP72,CA82509L1076,SHOPIFY INC,Kanada,CAD,0.49032813000000003,,New York Stock Exchange,Informationstechnologie,
IE00BL25JP72,GB0031348658,BARCLAYS PLC,GroÃbritannien (UK),GBP,0.48001320999999997,A3,London Stock Exchange,Finanzen,
IE00BL25JP72,SG1L01001701,DBS GROUP HOLDINGS LTD,Singapur,SGD,0.46728867,,,Finanzen,
IE00BL25JP72,JP3122400009,ADVANTEST CORP,Japan,JPY,0.46328159,,Tokyo Stock Exchange,Informationstechnologie,
IE00BL25JP72,CA1360691010,CANADIAN IMPERIAL BANK OF COMMERCE,Kanada,CAD,0.44670187000000006,Aa3,Toronto Stock Exchange,Finanzen,
IE00BL25JP72,US0640581007,BANK OF NEW YORK MELLON CORP,Vereinigte Staaten von Amerika,USD,0.44621191,Aa3,New York Stock Exchange,Finanzen,
IE00BL25JP72,FR0000130809,SOCIETE GENERALE SA,Frankreich,EUR,0.44190078000000005,A2,Euronext Paris,Finanzen,
IE00BL25JP72,US4824801009,KLA CORP,Vereinigte Staaten von Amerika,USD,0.43907262,Baa1,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US4581401001,INTEL CORP,Vereinigte Staaten von Amerika,USD,0.43614860000000005,A1,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,GB0008706128,LLOYDS BANKING GROUP PLC,GroÃbritannien (UK),GBP,0.43162424,A2,London Stock Exchange,Finanzen,
IE00BL25JP72,US6516391066,NEWMONT CORPORATION,Vereinigte Staaten von Amerika,USD,0.41990696,Baa2,New York Stock Exchange,Material,
IE00BL25JP72,US9581021055,WESTERN DIGITAL CORP,Vereinigte Staaten von Amerika,USD,0.40992255000000005,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,IE00BKVD2N49,SEAGATE TECHNOLOGY HOLDINGS PLC,Singapur,USD,0.40773203999999996,,NASDAQ National Market System,Informationstechnologie,
IE00BL25JP72,US2193501051,CORNING INC,Vereinigte Staaten von Amerika,USD,0.40391349,,New York Stock Exchange,Informationstechnologie,
IE00BL25JP72,IE00BY7QL619,JOHNSON CONTROLS INTERNATIONAL PLC,Irland,USD,0.39302327000000004,,New York Stock Exchange,Industrieunternehmen,
IE00BL25JP72,NL0000235190,AIRBUS,Frankreich,EUR,0.37643325,A2,Euronext Paris,Industrieunternehmen,
IE00BL25JP72,GB0002634946,BAE SYSTEMS PLC,GroÃbritannien (UK),GBP,0.37521813,Baa2,London Stock Exchange,Industrieunternehmen,
IE00BL25JP72,CA11271J1075,BROOKFIELD CORP CLASS A,Kanada,CAD,0.34895018,,,Finanzen,
IE00BL25JP72,GB00BM8PJY71,NATWEST GROUP PLC,GroÃbritannien (UK),GBP,0.34845692,,,Finanzen,
IE00BL25JP72,JP3733000008,NEC CORP,Japan,JPY,0.3449002,Baa2,Tokyo Stock Exchange,Informationstechnologie,
IE00BL25JP72,IE000IVNQZ81,TE CONNECTIVITY PLC,Irland,USD,0.34433705,,New York Stock Exchange,Informationstechnologie,
